"Object Number","Is Highlight","Is Public Domain","Object ID","Department","Object Name","Title","Culture","Period","Dynasty","Reign","Portfolio","Artist Role","Artist Prefix","Artist Display Name","Artist Display Bio","Artist Suffix","Artist Alpha Sort","Artist Nationality","Artist Begin Date","Artist End Date","Object Date","Object Begin Date","Object End Date","Medium","Dimensions","Credit Line","Geography Type","City","State","County","Country","Region","Subregion","Locale","Locus","Excavation","River","Classification","Rights and Reproduction","Link Resource","Metadata Date","Repository"
"74.51.4323","False","True",321398,"Ancient Near Eastern Art","Cylinder seal","Cylinder seal","Cypriot","Late Cypriot","","","","","","","","","","","","","ca. 15th–12th century B.C.",-1500,-1100,"Steatite","0.81 in. (2.06 cm)","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","Cyprus","","","","","","Stone-Cylinder Seals","","http://www.metmuseum.org/art/collection/search/321398","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"74.51.4324","False","True",321399,"Ancient Near Eastern Art","Cylinder seal","Cylinder seal","Cypriot","Late Cypriot","","","","","","","","","","","","","ca. 15th–12th century B.C.",-1500,-1100,"Steatite","0.73 in. (1.85 cm)","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","Cyprus","","","","","","Stone-Cylinder Seals","","http://www.metmuseum.org/art/collection/search/321399","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"74.51.4300","False","True",321400,"Ancient Near Eastern Art","Cylinder seal","Cylinder seal and modern impression: god with mace and suppliant goddess","Mitanni","Mitanni","","","","","","","","","","","","","16th–15th century B.C.",-1600,-1400,"Hematite                                      
","1.04 in. (2.64 cm)                        
","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","Mesopotamia","","","","","","Stone-Cylinder Seals","","http://www.metmuseum.org/art/collection/search/321400","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"74.51.4301","False","True",321401,"Ancient Near Eastern Art","Cylinder seal","Cylinder seal","Kassite","Kassite","","","","","","","","","","","","","ca. 16th–15th century B.C.",-1600,-1400,"Chalcedony","1.69 in. (4.29 cm)","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","Mesopotamia","","","","","","Stone-Cylinder Seals-Inscribed","","http://www.metmuseum.org/art/collection/search/321401","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"74.51.4302","False","True",321402,"Ancient Near Eastern Art","Cylinder seal","Cylinder seal","Mitanni","Mitanni","","","","","","","","","","","","","ca. 16th–15th century B.C.",-1600,-1400,"Hematite","0.83 in. (2.11 cm)","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","Mesopotamia","","","","","","Stone-Cylinder Seals-Inscribed","","http://www.metmuseum.org/art/collection/search/321402","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"74.51.4303","False","True",321403,"Ancient Near Eastern Art","Cylinder seal","Cylinder seal","","Old Syrian, Syro-Cappadocian","","","","","","","","","","","","","ca. 1900–1800 B.C.",-1900,-1800,"Hematite","0.75 in. (1.91 cm)","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","Anatolia (?)","","","","","","Stone-Cylinder Seals","","http://www.metmuseum.org/art/collection/search/321403","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"74.51.4305","False","True",321405,"Ancient Near Eastern Art","Cylinder seal","Cylinder seal","","Late Bronze Age","","","","","","","","","","","","","ca. 16th–12th century B.C.",-1600,-1100,"Stone","0.83 in. (2.11 cm)","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","Levant","","","","","","Stone-Cylinder Seals","","http://www.metmuseum.org/art/collection/search/321405","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"74.51.4306","False","True",321406,"Ancient Near Eastern Art","Cylinder seal","Cylinder seal","Cypriot ?","Late Cypriot","","","","","","","","","","","","","ca. 15th–12th century B.C.",-1500,-1100,"Steatite","0.96 in. (2.44 cm)","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","Cyprus","","","","","","Stone-Cylinder Seals","","http://www.metmuseum.org/art/collection/search/321406","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"74.51.4307","False","True",321407,"Ancient Near Eastern Art","Cylinder seal","Cylinder seal","","Late Bronze Age","","","","","","","","","","","","","ca. 14th–13th century B.C.",-1400,-1200,"Steatite","1.04 in. (2.64 cm)","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","Levant","","","","","","Stone-Cylinder Seals","","http://www.metmuseum.org/art/collection/search/321407","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"74.51.4308","False","True",321408,"Ancient Near Eastern Art","Cylinder seal","Cylinder seal and modern impression: hunter spearing a lion before deity with staff","","Middle Bronze Age","","","","","","","","","","","","","ca. 17th century B.C. (?)",-1700,-1600,"Black hematite","0.94 in. (2.39 cm)","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","Cyprus or Syria","","","","","","Stone-Cylinder Seals","","http://www.metmuseum.org/art/collection/search/321408","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"74.51.4309","False","True",321409,"Ancient Near Eastern Art","Cylinder seal","Cylinder seal and modern impression: king before nude winged goddess above snake; weather god on bull","Cypriot","Late Cypriot I-II","","","","","","","","","","","","","ca. 16th–14th century B.C.",-1600,-1300,"Hematite","0.94 in. (2.39 cm)","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","Cyprus","","","","","","Stone-Cylinder Seals","","http://www.metmuseum.org/art/collection/search/321409","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"74.51.4310","False","True",321410,"Ancient Near Eastern Art","Cylinder seal","Cylinder seal","Mitanni","Mitanni","","","","","","","","","","","","","ca. 15th–14th century B.C.",-1500,-1300,"Hematite","0.94 in. (2.39 cm)","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","Mesopotamia","","","","","","Stone-Cylinder Seals","","http://www.metmuseum.org/art/collection/search/321410","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"74.51.4311","False","True",321411,"Ancient Near Eastern Art","Cylinder seal","Cylinder seal and modern impression: combat between men and a lion","Cypriot","Late Cypriot II","","","","","","","","","","","","","ca. 14th century B.C.",-1400,-1300,"Black-grey  hematite","7/8 × 7/16 in. (2.2 × 1.1 cm)","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","Cyprus","","","","","","Stone-Cylinder Seals-Inscribed","","http://www.metmuseum.org/art/collection/search/321411","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"74.51.4312","False","True",321412,"Ancient Near Eastern Art","Cylinder seal","Cylinder seal and modern impression: seated figure holding the tail of a griffin","Cypriot","Late Cypriot II","","","","","","","","","","","","","ca. 14th century B.C.",-1400,-1300,"Black steatite","0.75 in. (1.91 cm)","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","Cyprus","","","","","","Stone-Cylinder Seals","","http://www.metmuseum.org/art/collection/search/321412","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"74.51.4325","False","True",321413,"Ancient Near Eastern Art","Cylinder seal","Cylinder seal and modern impression: man grasping an antelope, bull's head over ingot","Cypriot","Late Cypriot","","","","","","","","","","","","","ca. 16th–12th century B.C.",-1600,-1100,"Black-grey steatite","0.63 in. (1.6 cm)","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","Cyprus","","","","","","Stone-Cylinder Seals","","http://www.metmuseum.org/art/collection/search/321413","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"74.51.4326","False","True",321414,"Ancient Near Eastern Art","Cylinder seal","Cylinder seal","Cypriot","Late Cypriot","","","","","","","","","","","","","ca. 15th–12th century B.C.",-1500,-1100,"Steatite (?)","0.75 in. (1.91 cm)","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","Cyprus","","","","","","Stone-Cylinder Seals","","http://www.metmuseum.org/art/collection/search/321414","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"74.51.4327","False","True",321415,"Ancient Near Eastern Art","Cylinder seal","Cylinder seal","","Late Cypriot","","","","","","","","","","","","","ca. 14th–12th century B.C.",-1400,-1100,"Steatite","0.96 in. (2.44 cm)","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","Cyprus","","","","","","Stone-Cylinder Seals","","http://www.metmuseum.org/art/collection/search/321415","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"74.51.4328","False","True",321416,"Ancient Near Eastern Art","Cylinder seal","Cylinder seal","Cypriot","Late Cypriot","","","","","","","","","","","","","ca. 15th–13th century B.C.",-1500,-1200,"Steatite","0.69 in. (1.75 cm)","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","Cyprus","","","","","","Stone-Cylinder Seals","","http://www.metmuseum.org/art/collection/search/321416","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"74.51.4329","False","True",321417,"Ancient Near Eastern Art","Cylinder seal","Cylinder seal and modern impression: man, goat, griffin, nude figure, and \"impaled triangle\"","","Late Cypriot II","","","","","","","","","","","","","ca. 14th–13th century B.C.",-1400,-1200,"Carnelian","0.69 in. (1.75 cm)","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","Cyprus","","","","","","Stone-Cylinder Seals","","http://www.metmuseum.org/art/collection/search/321417","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"74.51.4330","False","True",321418,"Ancient Near Eastern Art","Cylinder seal","Cylinder seal","Cypriot?","Late Cypriot","","","","","","","","","","","","","ca. 15th–13th century B.C.",-1500,-1200,"Hematite","1.02 in. (2.59 cm)","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","Cyprus","","","","","","Stone-Cylinder Seals","","http://www.metmuseum.org/art/collection/search/321418","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"74.51.4331","False","True",321419,"Ancient Near Eastern Art","Cylinder seal","Cylinder seal","Cypriot","Late Cypriot","","","","","","","","","","","","","ca. 15th–13th century B.C.",-1500,-1200,"Steatite","0.73 in. (1.85 cm)","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","Cyprus","","","","","","Stone-Cylinder Seals","","http://www.metmuseum.org/art/collection/search/321419","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"74.51.4332","False","True",321420,"Ancient Near Eastern Art","Cylinder seal","Cylinder seal","Cypriot","Late Cypriot","","","","","","","","","","","","","ca. 15th–13th century B.C.",-1500,-1200,"Steatite","0.87 in. (2.21 cm)","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","Cyprus","","","","","","Stone-Cylinder Seals","","http://www.metmuseum.org/art/collection/search/321420","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"74.51.4333","False","True",321421,"Ancient Near Eastern Art","Cylinder seal","Cylinder seal","Cypriot","Late Cypriot","","","","","","","","","","","","","ca. 15th–13th century B.C.",-1500,-1200,"Steatite","0.75 in. (1.91 cm)","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","Cyprus","","","","","","Stone-Cylinder Seals","","http://www.metmuseum.org/art/collection/search/321421","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"74.51.4334","False","True",321422,"Ancient Near Eastern Art","Cylinder seal","Cylinder seal","Cypriot","Late Cypriot","","","","","","","","","","","","","ca. 15th–13th century B.C.",-1500,-1200,"Steatite","1.28 in. (3.25 cm)","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","Cyprus","","","","","","Stone-Cylinder Seals","","http://www.metmuseum.org/art/collection/search/321422","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"74.51.4335","False","True",321423,"Ancient Near Eastern Art","Cylinder seal","Cylinder seal","Cypriot","Late Cypriot","","","","","","","","","","","","","ca. 15th–13th century B.C.",-1500,-1200,"Steatite","0.89 in. (2.26 cm)","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","Cyprus","","","","","","Stone-Cylinder Seals","","http://www.metmuseum.org/art/collection/search/321423","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"74.51.4338","False","True",321426,"Ancient Near Eastern Art","Cylinder seal","Cylinder seal","Cypriot","Late Cypriot","","","","","","","","","","","","","ca. 15th–12th century B.C.",-1500,-1100,"Steatite","0.98 in. (2.49 cm)","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","Cyprus","","","","","","Stone-Cylinder Seals","","http://www.metmuseum.org/art/collection/search/321426","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"74.51.4339","False","True",321427,"Ancient Near Eastern Art","Cylinder seal","Cylinder seal","Cypriot","Late Cypriot","","","","","","","","","","","","","ca. 15th–12th century B.C.",-1500,-1100,"Steatite","0.87 in. (2.21 cm)","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","Cyprus","","","","","","Stone-Cylinder Seals","","http://www.metmuseum.org/art/collection/search/321427","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"74.51.4341","False","True",321429,"Ancient Near Eastern Art","Cylinder seal","Cylinder seal","Cypriot","Late Cypriot","","","","","","","","","","","","","ca. 13th–12th century B.C.",-1300,-1100,"Steatite","0.85 in. (2.16 cm)","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","Cyprus","","","","","","Stone-Cylinder Seals","","http://www.metmuseum.org/art/collection/search/321429","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"74.51.4342","False","True",321430,"Ancient Near Eastern Art","Cylinder seal","Cylinder seal","Cypriot","Late Cypriot","","","","","","","","","","","","","ca. 15th–12th century B.C.",-1500,-1100,"Steatite","0.65 in. (1.65 cm)","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","Cyprus","","","","","","Stone-Cylinder Seals","","http://www.metmuseum.org/art/collection/search/321430","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"74.51.4343","False","True",321431,"Ancient Near Eastern Art","Cylinder seal","Cylinder seal","Cypriot","Late Cypriot","","","","","","","","","","","","","ca. 15th–12th century B.C.",-1500,-1100,"Steatite","0.79 in. (2.01 cm)","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","Cyprus","","","","","","Stone-Cylinder Seals","","http://www.metmuseum.org/art/collection/search/321431","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"74.51.4345","False","True",321433,"Ancient Near Eastern Art","Cylinder seal","Cylinder seal","Cypriot","Late Cypriot","","","","","","","","","","","","","ca. 15th–13th century B.C.",-1500,-1200,"Steatite","0.94 in. (2.39 cm)","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","Cyprus","","","","","","Stone-Cylinder Seals","","http://www.metmuseum.org/art/collection/search/321433","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"74.51.4346","False","True",321434,"Ancient Near Eastern Art","Cylinder seal","Cylinder seal","Cypriot","Late Cypriot","","","","","","","","","","","","","ca. 15th–13th century B.C.",-1500,-1200,"Steatite","0.79 in. (2.01 cm)","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","Cyprus","","","","","","Stone-Cylinder Seals","","http://www.metmuseum.org/art/collection/search/321434","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"74.51.4347","False","True",321435,"Ancient Near Eastern Art","Cylinder seal","Cylinder seal","Cypriot","Late Cypriot","","","","","","","","","","","","","ca. 15th–12th century B.C.",-1500,-1100,"Steatite","0.89 in. (2.26 cm)","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","Cyprus","","","","","","Stone-Cylinder Seals","","http://www.metmuseum.org/art/collection/search/321435","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"74.51.4348","False","True",321436,"Ancient Near Eastern Art","Cylinder seal","Cylinder seal","Cypriot","Late Cypriot","","","","","","","","","","","","","ca. 15th–12th century B.C.",-1500,-1100,"Steatite","1.04 in. (2.64 cm)","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","Cyprus","","","","","","Stone-Cylinder Seals","","http://www.metmuseum.org/art/collection/search/321436","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"74.51.4349","False","True",321437,"Ancient Near Eastern Art","Cylinder seal","Cylinder seal","Cypriot","Late Cypriot","","","","","","","","","","","","","ca. 15th–13th century B.C.",-1500,-1200,"Steatite","1 in. (2.54 cm)","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","Cyprus","","","","","","Stone-Cylinder Seals","","http://www.metmuseum.org/art/collection/search/321437","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"74.51.4350","False","True",321438,"Ancient Near Eastern Art","Cylinder seal","Cylinder seal","Cypriot","Late Cypriot","","","","","","","","","","","","","ca. 15th–13th century B.C.",-1500,-1200,"Steatite","0.93 in. (2.36 cm)","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","Cyprus","","","","","","Stone-Cylinder Seals","","http://www.metmuseum.org/art/collection/search/321438","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"74.51.4351","False","True",321439,"Ancient Near Eastern Art","Cylinder seal","Cylinder seal","Cypriot","Late Cypriot","","","","","","","","","","","","","ca. 15th–13th century B.C.",-1500,-1200,"Steatite","0.77 in. (1.96 cm)","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","Cyprus","","","","","","Stone-Cylinder Seals","","http://www.metmuseum.org/art/collection/search/321439","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"74.51.4352","False","True",321440,"Ancient Near Eastern Art","Cylinder seal","Cylinder seal","Cypriot","Late Cypriot","","","","","","","","","","","","","ca. 15th–13th century B.C.",-1500,-1200,"Steatite","0.63 in. (1.6 cm)","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","Cyprus","","","","","","Stone-Cylinder Seals","","http://www.metmuseum.org/art/collection/search/321440","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"74.51.4353","False","True",321441,"Ancient Near Eastern Art","Cylinder seal","Cylinder seal","Cypriot?","Late Cypriot","","","","","","","","","","","","","ca. 15th–12th century B.C.",-1500,-1100,"Steatite","0.49 in. (1.24 cm)","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","Cyprus","","","","","","Stone-Cylinder Seals","","http://www.metmuseum.org/art/collection/search/321441","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"74.51.4354","False","True",321442,"Ancient Near Eastern Art","Cylinder seal","Cylinder seal","Cypriot?","Late Cypriot","","","","","","","","","","","","","ca. 15th–12th century B.C.",-1500,-1100,"Steatite","0.89 in. (2.26 cm)","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","Cyprus","","","","","","Stone-Cylinder Seals","","http://www.metmuseum.org/art/collection/search/321442","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
